code4,income_security,job_security_score,wage_nrm,wage_abs
2422,0.207954717193553,0.741935483870968,0.280286792739136,1477.7
2491,0.273657555812674,0.833333333333333,0.328389066975209,1731.3
2492,0.0017881437619303,0.0303030303030303,0.0590087441436998,311.1
2493,0.0581660330527006,0.285714285714286,0.203581115684452,1073.3
2511,0.200100529200888,0.75,0.266800705601184,1406.6
2512,0.30982277776724,0.833333333333333,0.371787333320688,1960.1
2513,0.314223752891456,0.904761904761905,0.347299937406347,1831
2514,0.136311906071584,0.5,0.272623812143169,1437.3
2515,0.194414732847154,0.695652173913043,0.279471178467783,1473.4
2519,0.259668822670283,0.833333333333333,0.31160258720434,1642.8
2521,0.0364402546739756,0.166666666666667,0.218641528043853,1152.7
2522,0,0,0,0
2523,0.16461317935114,0.428571428571429,0.384097418485992,2025
2524,0.174323324671383,0.75,0.232431099561844,1225.4
2525,0.196066083723753,0.8,0.245082604654692,1292.1
2526,0.128271466777944,0.6,0.21378577796324,1127.1
2527,0.130094123929597,0.692307692307692,0.187913734564974,990.7
2531,0.305000616452647,0.59375,0.513685248762353,2708.2
2532,0.84955032827797,0.857142857142857,0.991142049657631,5225.4
2533,0.631190607158438,1,0.631190607158438,3327.7
2534,0.725763927087878,1,0.725763927087878,3826.3
2535,0.571428571428571,0.571428571428571,1,5272.1
2539,0.745189637092294,0.857142857142857,0.86938790994101,4583.5
2541,0.204716472427631,0.714285714285714,0.286603061398684,1511
2542,0.336696951878758,1,0.336696951878758,1775.1
2543,0.369923893244771,0.939393939393939,0.393789950873466,2076.1
2544,0.225618794879621,0.858585858585859,0.262779537565676,1385.4
2611,0.387162725680584,0.878787878787879,0.440564480946871,2322.7
2612,0.151729544836656,0.666666666666667,0.227594317254984,1199.9
2613,0.280600623177585,0.742424242424242,0.377951859790216,1992.6
2621,0.349562792815007,0.9,0.388403103127786,2047.7
2631,0.337988341141733,0.916666666666667,0.3687145539728,1943.9
2632,0.407029456952637,1,0.407029456952637,2145.9
2633,0.332239525046945,0.8,0.415299406308681,2189.5
2711,0.12804195671554,0.25,0.512167826862161,2700.2
2712,0.401724170634093,0.95,0.422867548035887,2229.4
2713,0.298756467556143,0.780821917808219,0.382617932133305,2017.2
2721,0.118001230195612,0.571428571428571,0.206502152842321,1088.7
2722,0.0780144534435993,0.818181818181818,0.095350998653288,502.7
2723,0.153855741951567,0.571428571428571,0.269247548415242,1419.5
2724,0.11091932584317,0.555555555555556,0.199654786517706,1052.6
2725,0.224808501968059,0.870967741935484,0.258113465222587,1360.8
2726,0.227108268052579,0.90625,0.250602226816639,1321.2
3111,0.259972307050321,1,0.259972307050321,1370.6
3112,0.108734199988159,0.757575757575758,0.14352914398437,756.7
3113,0.34265283283701,1,0.34265283283701,1806.5
3114,0.225956394203895,0.882352941176471,0.25608391343108,1350.1
3121,0.300890212187028,0.876712328767123,0.343202898275829,1809.4
3122,0.272860277055949,0.933333333333333,0.292350296845659,1541.3
3123,0.397507634528935,1,0.397507634528935,2095.7
3124,0.287490753210296,0.8,0.35936344151287,1894.6
3125,0.122892206141765,0.333333333333333,0.368676618425295,1943.7
3126,0.274880977219704,1,0.274880977219704,1449.2
