us_nsw_wk_7day_avg,us_vic_wk_7day_avg,ds_nsw_wk_7day_avg,ds_vic_wk_7day_avg,cases_nsw_wk_7day_avg,cases_vic_wk_7day_avg
13024915.598481,12737663.0067777,127328504.673933,125024088.541938,0,0.285714285714286
13024915.598481,12737663.0067777,127328504.673933,125024088.541938,0,0.285714285714286
12986629.6660375,12744862.3330873,126350119.576454,125687256.788649,0,0.285714285714286
12987686.587199,12662747.1377283,126293365.88009,124599088.626516,0,0.428571428571429
13111393.6212941,12716244.3752255,130357227.349233,127325345.766352,0,0.428571428571429
13192290.0300772,12771781.7847348,131861983.30435,127937554.179872,0,0.428571428571429
13153457.7181371,12749802.9290992,129411963.984705,126387362.246991,0,0.428571428571429
13153457.7181371,12749802.9290992,129411963.984705,126387362.246991,0,0.142857142857143
13153457.7181371,12749802.9290992,129411963.984705,126387362.246991,0.285714285714286,0.428571428571429
13173355.8543819,12790181.9423269,129277533.206815,126423016.9274,0.714285714285714,0.428571428571429
13218888.6885577,12802984.7209944,130320176.622599,126038356.534166,1.57142857142857,0.285714285714286
13386965.5751841,12784926.5923307,135440350.177526,127154394.174214,2.42857142857143,0.428571428571429
13464493.9280626,12887276.2336797,137146601.04643,129244877.003405,3,0.428571428571429
13525238.9747073,12973966.3107668,137678158.272143,129916614.40506,4,0.571428571428571
13525238.9747073,12973966.3107668,137678158.272143,129916614.40506,4.28571428571429,0.714285714285714
13525238.9747073,12973966.3107668,137678158.272143,129916614.40506,5,0.714285714285714
13761754.0817062,13727993.6757585,141999116.492727,146515077.773548,6.42857142857143,1.14285714285714
13768591.7753139,13817574.4605876,141311415.484092,147350569.442344,6.42857142857143,1.42857142857143
13891172.9354947,14046352.5982068,145276336.268148,153592547.295028,7.85714285714286,2
13956903.684895,14130076.856098,147530208.847259,154963198.793347,9.28571428571429,3.42857142857143
14037853.509553,14178091.5135704,148819131.363518,155973928.522283,11,5.42857142857143
14037853.509553,14178091.5135704,148819131.363518,155973928.522283,13.5714285714286,6
14037853.509553,14178091.5135704,148819131.363518,155973928.522283,18,6.71428571428571
14249740.7126637,13784664.4989672,148928281.686216,140939545.182119,20.2857142857143,8.71428571428571
14978415.8531533,14464543.0505555,154443379.525741,144964522.888798,28.5714285714286,13.7142857142857
15488148.2792658,15215936.5304542,147573051.745793,140677256.620545,32.7142857142857,17.2857142857143
16364341.2597333,16243467.4424188,148780630.706756,144641867.18274,38.7142857142857,20.5714285714286
17328163.9553067,17389931.1127386,154683951.864407,151188445.485898,48.5714285714286,24.5714285714286
17328163.9553067,17389931.1127386,154683951.864407,151188445.485898,63.1428571428571,30.4285714285714
17328163.9553067,17389931.1127386,154683951.864407,151188445.485898,75,39.8571428571429
18453857.7946458,18934073.8292985,160274274.834204,161190758.916314,96.1428571428571,45.4285714285714
19528967.0315324,19764029.1820487,174751787.995806,180814218.853424,114.428571428571,49.2857142857143
21629188.3057048,21816685.5424252,190332456.955379,198048924.953203,137.428571428571,53.2857142857143
23652531.4670417,23825413.1363595,205874639.460265,212485242.303454,155.857142857143,56.2857142857143
25219371.8797076,25147135.6942583,218721662.721872,225210754.333526,173.714285714286,65.2857142857143
25219371.8797076,25147135.6942583,218721662.721872,225210754.333526,176.714285714286,69.8571428571429
25219371.8797076,25147135.6942583,218721662.721872,225210754.333526,177.142857142857,67.1428571428571
26801587.837742,26200362.8420319,226864284.966163,232186650.464403,164.714285714286,71.7142857142857
28169582.8835423,27677493.1025536,224351174.909926,226823002.264631,156,70.8571428571429
28504226.4761061,27525748.4534383,223260805.108789,222028055.19761,144.285714285714,71.5714285714286
28735513.496335,27412601.811144,222783318.408952,223196709.440107,131,72.2857142857143
29270798.9201034,27777321.4980392,220568971.529573,220789226.480597,115.714285714286,60.2857142857143
29270798.9201034,27777321.4980392,220568971.529573,220789226.480597,105.714285714286,53.2857142857143
29270798.9201034,27777321.4980392,220568971.529573,220789226.480597,97,49.2857142857143
29259091.868024,27883551.3734034,221071931.511768,222940375.004795,89.8571428571429,41.4285714285714
29312774.0970156,28040991.0596702,224219386.58152,225267502.106113,77.4285714285714,36.5714285714286
29361658.7670702,28325907.8043235,227360523.604026,228360663.48362,66.1428571428571,29.4285714285714
29382862.2190032,28371924.7304746,231203151.073945,226403226.341338,58.8571428571429,22.7142857142857
28801848.5832654,27629673.4927844,245247022.05881,233001862.288293,48,23
28801848.5832654,27629673.4927844,245247022.05881,233001862.288293,40.1428571428571,19.7142857142857
28801848.5832654,27629673.4927844,245247022.05881,233001862.288293,32.5714285714286,17.1428571428571
27573427.5090012,26579759.0227601,247972627.332765,233917046.898053,27.8571428571429,13.7142857142857
27266010.4712116,26732351.4370893,247633746.245735,233761232.8692,24.5714285714286,10.8571428571429
26890580.759784,27352914.7506043,245303526.58056,230667173.169375,21.2857142857143,9.71428571428571
26586767.9396827,28124867.1983003,242547576.378611,228539350.006515,18.5714285714286,9
26769086.7852725,29628853.2079116,227493201.496963,221519335.560437,16.4285714285714,7.57142857142857
26769086.7852725,29628853.2079116,227493201.496963,221519335.560437,16.2857142857143,8.57142857142857
26769086.7852725,29628853.2079116,227493201.496963,221519335.560437,15.8571428571429,7.57142857142857
27647199.0163711,31371854.2750243,225030594.973102,219040517.951967,15.1428571428571,7
27590498.9178022,31845307.7897855,223299779.477829,216272110.755099,13,6.57142857142857
27556551.8264497,31897614.170766,221468047.315293,216579583.62947,10.2857142857143,6
27416721.6591527,31761801.0487637,218388702.976977,215669430.204096,8.28571428571429,5.71428571428571
27324381.983282,31627895.5779646,215823580.498835,213343208.370826,8.14285714285714,4.14285714285714
27324381.983282,31627895.5779646,215823580.498835,213343208.370826,6.14285714285714,2.71428571428571
27324381.983282,31627895.5779646,215823580.498835,213343208.370826,5.28571428571429,2.71428571428571
27218882.9905884,31507234.1076382,215499427.663162,211224497.107558,5.71428571428571,2.42857142857143
27499490.5525251,31397234.4320323,215739664.426679,211392677.57507,6.28571428571429,2.71428571428571
27848843.2487977,31376877.3459999,215042265.06175,212832686.639398,6.28571428571429,3.57142857142857
28428157.3491991,31517801.2138061,219771380.228161,216970197.198189,7.28571428571429,3.57142857142857
28742060.6771549,30911836.1196577,219245467.955761,216750085.167536,5.57142857142857,4.57142857142857
28742060.6771549,30911836.1196577,219245467.955761,216750085.167536,5.42857142857143,5.71428571428571
28742060.6771549,30911836.1196577,219245467.955761,216750085.167536,5.42857142857143,8.57142857142857
28797481.1654599,30815035.8805582,212937804.464704,216298924.358048,5.28571428571429,10.1428571428571
28564972.5947718,30706675.7871592,207948823.7252,213223891.965047,4.57142857142857,12
28111884.253102,30446953.3227456,203075181.974548,208227599.303408,4.57142857142857,13.1428571428571
27503958.3692703,30167265.8309071,192580083.120441,200820729.776767,2.71428571428571,14.2857142857143
27133521.0161196,30530956.9653196,188676559.168394,198843585.251001,3,14.5714285714286
27133521.0161196,30530956.9653196,188676559.168394,198843585.251001,2.85714285714286,14.1428571428571
27133521.0161196,30530956.9653196,188676559.168394,198843585.251001,2.85714285714286,11.8571428571429
26801541.4395398,30492538.7703033,187065207.137385,198537203.057185,2.28571428571429,12.1428571428571
26398802.5961337,30484363.8652637,184742426.624812,200286773.855542,2.28571428571429,10.8571428571429
26196732.0831498,30517150.0832603,186527918.475102,204414788.16518,2.42857142857143,10
25935794.2113514,30447919.259289,186896792.238484,205659518.246672,2.57142857142857,10.8571428571429
25681705.9384879,30258804.5755264,187581903.799061,207729545.721095,2.28571428571429,11
