date_vic_wk,cases_vic_wk,ds_vic_wk,us_vic_wk,date_nsw_wk,cases_nsw_wk,ds_nsw_wk,us_nsw_wk
2020-05-31,4,NaN,NaN,2020-05-31,5,NaN,NaN
2020-06-01,9,188527778.861164,27620045.1239772,2020-06-01,4,151949201.070692,21236338.9704839
2020-06-02,7,183072247.077884,26389062.2866324,2020-06-02,1,147905139.0716,21046964.8203826
2020-06-03,8,178232499.680221,26120376.8656237,2020-06-03,2,137377312.480852,20456989.4266901
2020-06-04,3,174158986.777417,25686419.8532117,2020-06-04,3,140385600.95728,20504521.272213
2020-06-05,1,176059357.995068,24746110.7684294,2020-06-05,0,139813731.212339,19585819.9758973
2020-06-06,4,NaN,NaN,2020-06-06,1,NaN,NaN
2020-06-07,2,NaN,NaN,2020-06-07,3,NaN,NaN
2020-06-08,0,187641015.079723,18070354.823022,2020-06-08,1,194380349.883528,18397335.1155437
2020-06-09,4,141146314.456158,21406281.7214096,2020-06-09,3,147904345.298609,20578047.2317659
2020-06-10,7,144248316.898841,21404881.7847169,2020-06-10,0,157215927.307552,20812977.1330399
2020-06-11,5,145514518.542804,21252747.8859796,2020-06-11,3,147133646.943957,20198467.7260556
2020-06-12,8,175426347.215809,21710886.3263141,2020-06-12,3,178581930.602779,20773092.7855847
2020-06-13,10,NaN,NaN,2020-06-13,9,NaN,NaN
2020-06-14,12,NaN,NaN,2020-06-14,6,NaN,NaN
2020-06-15,9,153898421.063509,21695610.5878578,2020-06-15,0,146450640.337072,20018358.5106695
2020-06-16,20,149739143.692285,21798534.9744095,2020-06-16,0,143172865.299789,20010356.587396
2020-06-17,18,154976901.763523,21684744.406578,2020-06-17,2,155381792.729374,20244431.216499
2020-06-18,12,158404005.587889,21699930.001174,2020-06-18,7,157826142.048509,20258592.1313357
2020-06-19,25,157716505.397588,21476064.4642572,2020-06-19,1,150237812.110305,19728653.9906671
2020-06-20,17,NaN,NaN,2020-06-20,6,NaN,NaN
2020-06-21,13,NaN,NaN,2020-06-21,1,NaN,NaN
2020-06-22,17,167391134.349961,22518895.8373993,2020-06-22,1,152796679.735303,20259981.6750209
2020-06-23,18,161670439.51311,22447499.9368408,2020-06-23,10,146996904.670617,20190430.802766
2020-06-24,33,164574557.978532,22283021.7088647,2020-06-24,4,149153546.60139,19806118.340581
2020-06-25,28,159701780.340093,22046567.2727078,2020-06-25,6,143444464.113921,19457328.5014149
2020-06-26,40,171157930.809275,22177668.8761395,2020-06-26,5,150825021.437615,19304868.7595315
2020-06-27,47,NaN,NaN,2020-06-27,10,NaN,NaN
2020-06-28,69,NaN,NaN,2020-06-28,3,NaN,NaN
2020-06-29,61,199610401.58383,24263028.4699346,2020-06-29,6,155382064.213735,20267989.4223294
2020-06-30,76,233141903.119472,24729421.4423592,2020-06-30,11,176693816.963737,21336493.428011
2020-07-01,73,NaN,NaN,2020-07-01,6,NaN,NaN
2020-07-02,62,208008257.90565,24665259.8080743,2020-07-02,5,155893765.47977,19976693.7812078
2020-07-03,100,210858128.467989,24083404.8609427,2020-07-03,8,161124796.482092,19970152.1608694
2020-07-04,68,NaN,NaN,2020-07-04,12,NaN,NaN
2020-07-05,98,NaN,NaN,2020-07-05,8,NaN,NaN
2020-07-06,168,204176977.578103,24145756.4509035,2020-07-06,13,195114640.055737,21907628.4378738
2020-07-07,122,202100247.235275,24363237.9878703,2020-07-07,6,191697490.378556,21670838.6346973
2020-07-08,149,199693060.178569,23702487.962796,2020-07-08,13,202454175.558431,21711357.4900092
2020-07-09,143,214062743.539941,25205853.3968973,2020-07-09,9,192558951.006944,21153110.5879646
2020-07-10,290,223337157.611423,25035781.1444602,2020-07-10,8,200169172.27698,21205002.3396332
2020-07-11,256,NaN,NaN,2020-07-11,2,NaN,NaN
2020-07-12,167,NaN,NaN,2020-07-12,15,NaN,NaN
2020-07-13,248,202670863.520502,25810825.7058041,2020-07-13,17,197567583.31769,22007458.4456269
2020-07-14,218,194965793.114553,25497984.9080372,2020-07-14,10,209392739.400156,22681478.8773839
2020-07-15,295,199753476.497865,25422418.0384105,2020-07-15,9,200604882.659779,21901593.6259205
2020-07-16,379,212457897.819609,25948633.9980734,2020-07-16,9,203468607.630136,21825331.3318984
2020-07-17,211,213441543.065937,25838502.6963158,2020-07-17,13,203012447.510278,21420642.1412947
2020-07-18,337,NaN,NaN,2020-07-18,17,NaN,NaN
2020-07-19,262,NaN,NaN,2020-07-19,20,NaN,NaN
2020-07-20,341,210610797.474873,27951970.3537184,2020-07-20,14,186860242.524965,21589538.3746755
2020-07-21,436,208853420.887641,28120599.9153441,2020-07-21,14,147095218.366554,19746526.1641897
2020-07-22,374,212659124.043579,27940149.2852475,2020-07-22,16,151501570.260477,19634689.7872539
2020-07-23,287,218455517.543272,28029597.7094167,2020-07-23,7,153041936.546976,19771400.4758787
2020-07-24,333,216711718.29256,28043979.0783265,2020-07-24,18,155990230.944256,19405375.8566582
2020-07-25,408,NaN,NaN,2020-07-25,19,NaN,NaN
2020-07-26,492,NaN,NaN,2020-07-26,8,NaN,NaN
2020-07-27,358,216243031.573946,28590454.6685107,2020-07-27,15,175780404.917717,20861425.3058654
2020-07-28,274,212699328.252612,28293652.6442943,2020-07-28,22,162439722.69417,20481114.2960603
2020-07-29,626,215409780.862327,28234762.0014944,2020-07-29,15,147806595.631768,19714626.0817723
2020-07-30,549,210841099.731099,28088568.037168,2020-07-30,22,147924118.846162,19585539.1014772
2020-07-31,368,218934300.976167,28150336.7922756,2020-07-31,15,153304139.676479,19406977.3186329
2020-08-01,598,NaN,NaN,2020-08-01,14,NaN,NaN
2020-08-02,352,NaN,NaN,2020-08-02,11,NaN,NaN
2020-08-03,404,219864046.67791,28837264.2684437,2020-08-03,13,154797753.795703,19449009.9092716
2020-08-04,687,265266169.866574,29558761.3764807,2020-08-04,9,158704027.180741,20330591.5201575
2020-08-05,444,266514064.86823,30671692.4942967,2020-08-05,13,163853383.930553,20353962.8058564
2020-08-06,421,298492672.764495,31167736.8692164,2020-08-06,11,180498691.604146,20647871.1612554
2020-08-07,455,270942468.552665,31398468.523696,2020-08-07,8,178884946.533249,20859777.1399171
2020-08-08,374,NaN,NaN,2020-08-08,14,NaN,NaN
2020-08-09,310,NaN,NaN,2020-08-09,13,NaN,NaN
2020-08-10,321,241238412.115793,31115538.6140818,2020-08-10,22,168229612.373726,21255642.3297633
2020-08-11,400,242174814.944954,31058734.4707168,2020-08-11,15,148591511.343356,20117658.9316663
2020-08-12,256,256777385.126615,31111514.8203527,2020-08-12,10,153136385.499146,20019677.8124909
2020-08-13,360,252152576.613611,31203121.805804,2020-08-13,14,147342918.573366,19978120.8357904
2020-08-14,301,259364872.267453,30986283.0060811,2020-08-14,7,155867227.443044,19895189.6273375
2020-08-15,267,NaN,NaN,2020-08-15,6,NaN,NaN
2020-08-16,266,NaN,NaN,2020-08-16,5,NaN,NaN
2020-08-17,218,242685698.351418,31125760.9127196,2020-08-17,3,151200014.51694,20256743.7156816
2020-08-18,208,246071907.773635,30405103.8470523,2020-08-18,8,153011703.583157,20402053.3507482
2020-08-19,231,267515726.676605,30361581.1447993,2020-08-19,2,156131698.549923,20504981.3243954
2020-08-20,170,250162047.327127,30471254.2679376,2020-08-20,5,158694644.348786,20806367.979742
2020-08-21,173,259641732.55609,30508295.3201537,2020-08-21,7,157939154.976284,20340855.1203119
2020-08-22,202,NaN,NaN,2020-08-22,2,NaN,NaN
2020-08-23,109,NaN,NaN,2020-08-23,3,NaN,NaN
2020-08-24,146,254749740.830895,28811254.6669804,2020-08-24,4,167475132.68949,20753131.1923991
2020-08-25,142,260182768.916635,26634591.2253853,2020-08-25,6,156374431.592965,20109595.2324206
2020-08-26,110,257934564.393709,29450531.0683154,2020-08-26,12,157641459.033839,19901580.6204283
2020-08-27,111,262416449.682162,27689668.4495079,2020-08-27,15,163152989.264872,20526099.9345371
2020-08-28,90,273141847.159279,25761855.0297413,2020-08-28,10,172459696.029813,20400320.5332595
2020-08-29,108,NaN,NaN,2020-08-29,7,NaN,NaN
2020-08-30,71,NaN,NaN,2020-08-30,11,NaN,NaN
2020-08-31,63,269244943.306494,22977041.4970551,2020-08-31,12,170612089.711003,20707164.3025188
