us_nsw_wknd_7day_avg,us_vic_wknd_7day_avg,ds_nsw_wknd_7day_avg,ds_vic_wknd_7day_avg,cases_nsw_wknd_7day_avg,cases_vic_7day_avg
19281073.0688516,19454649.2936449,217912773.642563,219163035.51805,3.57142857142857,15.1428571428571
19088220.6752348,19608592.1469483,217525985.016928,219002940.821386,3.14285714285714,16.1428571428571
19181271.7358835,19820381.0293491,223745437.970362,225297185.832259,2.42857142857143,16.2857142857143
19181271.7358835,19820381.0293491,223745437.970362,225297185.832259,2.57142857142857,17.4285714285714
19181271.7358835,19820381.0293491,223745437.970362,225297185.832259,4,17.1428571428571
19181271.7358835,19820381.0293491,223745437.970362,225297185.832259,4.28571428571429,19.2857142857143
19181271.7358835,19820381.0293491,223745437.970362,225297185.832259,4.14285714285714,21.5714285714286
19181271.7358835,19820381.0293491,223745437.970362,225297185.832259,4.71428571428571,23.7142857142857
19091942.9652957,19265459.2411216,222882390.334364,220615752.906409,5.28571428571429,28
18580583.4483733,18821589.173301,212028705.720562,212824353.579988,5.57142857142857,36
18580583.4483733,18821589.173301,212028705.720562,212824353.579988,6.28571428571429,42.2857142857143
18580583.4483733,18821589.173301,212028705.720562,212824353.579988,6.42857142857143,50.5714285714286
18580583.4483733,18821589.173301,212028705.720562,212824353.579988,6.71428571428571,56.2857142857143
18580583.4483733,18821589.173301,212028705.720562,212824353.579988,6.57142857142857,61.1428571428571
18580583.4483733,18821589.173301,212028705.720562,212824353.579988,7,69.7142857142857
18435840.4596034,18683569.5153808,210146946.84005,214861733.894977,7.28571428571429,72.7142857142857
18021362.4297065,18605158.213129,206988418.264808,218087985.592678,8,76.8571428571429
18021362.4297065,18605158.213129,206988418.264808,218087985.592678,9,92.1428571428571
18021362.4297065,18605158.213129,206988418.264808,218087985.592678,8.28571428571429,98.7142857142857
18021362.4297065,18605158.213129,206988418.264808,218087985.592678,9.28571428571429,109.571428571429
18021362.4297065,18605158.213129,206988418.264808,218087985.592678,9.85714285714286,121.142857142857
18021362.4297065,18605158.213129,206988418.264808,218087985.592678,9.85714285714286,148.285714285714
18037910.3706035,19670743.8249358,213576553.744446,233215598.563659,8.42857142857143,175.142857142857
17987338.2287336,20650757.2625801,216515827.109245,246147008.711047,9.42857142857143,185
17987338.2287336,20650757.2625801,216515827.109245,246147008.711047,10,196.428571428571
17987338.2287336,20650757.2625801,216515827.109245,246147008.711047,10.5714285714286,210.142857142857
17987338.2287336,20650757.2625801,216515827.109245,246147008.711047,10,231
17987338.2287336,20650757.2625801,216515827.109245,246147008.711047,10,264.714285714286
17987338.2287336,20650757.2625801,216515827.109245,246147008.711047,10.7142857142857,253.428571428571
17515812.2579016,20842686.1808892,207591371.217318,242402536.769007,12.8571428571429,265
17406108.1728162,21012723.0704862,205077446.799426,240970038.385352,13.5714285714286,278.571428571429
17406108.1728162,21012723.0704862,205077446.799426,240970038.385352,13.1428571428571,291.857142857143
