OCCP4dig,log_income_security,wfh_classification
2533,-0.460449416440924,0
2534,-0.320205264157341,0
2535,-0.560366069326127,0
2539,-0.294371060602578,0
2541,-1.58474529984373,0
2542,-1.08767234862978,0
2543,-0.994252273343867,0
2544,-1.48722027970985,0
2611,-0.949330585952355,1
2612,-1.88387475813586,1
2613,-1.26940060964839,1
2621,-1.04982212449868,1
2631,-1.08470938349912,1
2632,-0.898942093539542,1
2633,-1.10262031006565,1
2711,-2.05572501506252,1
2712,-0.911303190363116,1
2713,-1.20731170559145,1
2721,-2.13707065451647,1
2722,-2.55104645229255,1
2723,-1.87080267656851,1
2724,-2.1982250776698,1
2725,-1.49165487677772,1
2726,-1.48280526150073,1
3111,-1.34707364796661,0
3112,-2.21640739675299,0
3113,-1.0700248318162,0
3114,-1.48722027970985,0
3121,-1.20064501423326,1
3122,-1.29828348379718,1
3126,-1.29098418131557,0
3129,-0.65200523722877,0
3131,-1.52326021619305,1
3132,-1.51412773262978,0
3211,-2.39689577246529,0
3212,-1.63989711991881,0
3221,-1.93794197940614,0
3222,-1.39432653281715,0
3223,-1.75446368448436,0
3231,-0.967584026261706,0
3232,-1.14885350510486,0
3233,-1.73727128394399,0
3241,-1.43548460531066,0
3242,-2.26336437984076,0
3243,-1.49165487677772,0
3311,-2.14558134418438,0
3312,-1.95192822138088,0
3321,-3.38139475436598,0
3322,-2.91877123241786,0
3331,-1.87080267656851,0
3332,-2.48891467118554,0
3334,-3.03655426807425,0
3341,-1.80788885115794,0
3411,-1.4961092271271,0
3421,-1.41881755282545,0
3422,-0.791863153499103,0
3423,-1.71479842809193,0
3424,-1.4784096500277,0
3511,-2.32278780031156,0
3512,-2.22562405185792,0
3513,-2.04794287462046,0
3514,-2.25379492882461,0
3611,-3.44201937618241,0
3613,-2.07147337203066,0
3621,-3.35240721749272,1
3622,-2.91877123241786,0
3623,-2.00991547903123,0
3624,-2.7646205525906,0
3911,-2.61729583783375,1
3921,-2.12863178587061,0
3922,-1.71479842809193,1
3923,-1.50058350752202,0
3932,-3.77226106305299,0
3933,-2.97592964625781,0
3941,-2.06356819252355,0
3991,-1.86433016206289,0
3992,-0.642454066244427,0
3993,-1.68200860526894,0
3994,-1.88387475813586,0
3996,-1.61445045425764,1
3999,-1.60445037092306,0
4111,-1.09961278900169,0
4112,-2.21640739675299,0
4113,-1.89047544216721,0
4114,-1.76609172247948,0
4115,-1.28735441326499,0
4117,-1.73160554640831,0
4211,-2.61729583783375,0
4221,-2.24431618487007,1
