code4,income_security,security_score,wage
2534,0.726,1,0.726
2535,0.571,0.571,1
2539,0.745,0.857,0.869
2541,0.205,0.714,0.287
2542,0.337,1,0.337
2543,0.37,0.939,0.394
2544,0.226,0.859,0.263
2611,0.387,0.879,0.441
2612,0.152,0.667,0.228
2613,0.281,0.742,0.378
2621,0.35,0.9,0.388
2631,0.338,0.917,0.369
2632,0.407,1,0.407
2633,0.332,0.8,0.415
2711,0.128,0.25,0.512
2712,0.402,0.95,0.423
2713,0.299,0.781,0.383
2721,0.118,0.571,0.207
2722,0.078,0.818,0.095
2723,0.154,0.571,0.269
2724,0.111,0.556,0.2
2725,0.225,0.871,0.258
2726,0.227,0.906,0.251
3111,0.26,1,0.26
3112,0.109,0.758,0.144
3113,0.343,1,0.343
3114,0.226,0.882,0.256
3121,0.301,0.877,0.343
3122,0.273,0.933,0.292
3123,0.398,1,0.398
3124,0.287,0.8,0.359
3125,0.123,0.333,0.369
3126,0.275,1,0.275
3129,0.521,1,0.521
3131,0.218,0.825,0.264
3132,0.22,0.833,0.264
3211,0.091,0.333,0.273
3212,0.194,0.77,0.252
3221,0.144,0.5,0.288
3222,0.248,0.8,0.31
3223,0.173,0.589,0.294
3231,0.38,0.929,0.41
3232,0.317,0.8,0.396
3233,0.176,1,0.176
3234,0,1,0
3241,0.238,1,0.238
3242,0.104,0.429,0.242
3243,0.225,0.923,0.243
3311,0.117,0.333,0.35
3312,0.142,0.587,0.241
3321,0.034,0.2,0.171
3322,0.054,0.219,0.248
3331,0.154,0.75,0.206
3332,0.083,0.24,0.345
3333,0,0,0.177
3334,0.048,0.222,0.215
3341,0.164,0.564,0.291
3411,0.224,0.685,0.326
3421,0.242,0.833,0.29
3422,0.453,1,0.453
3423,0.18,0.667,0.271
3424,0.228,0.842,0.271
3511,0.098,0.692,0.141
3512,0.108,0.625,0.173
3513,0.129,0.612,0.21
3514,0.105,0.706,0.148
3611,0.032,0.273,0.117
3612,0,0,0
3613,0.126,0.733,0.171
3621,0.035,0.2,0.173
3622,0.054,0.333,0.161
3623,0.134,0.733,0.182
3624,0.063,0.333,0.19
3911,0.073,0.553,0.133
3921,0.119,0.667,0.178
3922,0.18,1,0.18
3923,0.223,1,0.223
3931,0,0,0
3932,0.023,0.167,0.139
3933,0.051,0.333,0.153
3941,0.127,0.667,0.19
3942,0,1,0
3991,0.155,0.5,0.309
3992,0.526,0.857,0.614
3993,0.186,1,0.186
3994,0.152,0.667,0.228
3995,0.081,0.375,0.217
